"Species","SubPlotID","Temperature","Water","Depth","Soil..total.wt..","Soil_moisture","Dry_Root","Dry_soil","Moisture....","Dry_soil_total","Root_mass.g.g.","Root_mass..mg.g.","Shelter","rooting_depth","Dry_Root_cum","root_biomass_total","beta","rooting.depth.cal"
"Bis","S1P7B","Amb","Drt","0_10",988.9,40.01,0.319,39.918,0.229942514,986.6260985,0.000323324,0.323324105,"S1",10,0.319,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S1P7B","Amb","Drt","10_20",1276.8,40.17,0.146,38.805,3.398058252,1233.413592,0.000118371,0.118370675,"S1",20,0.465,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S2P2D","Amb","Drt","0_10",1074.4,37.49,0.436,36.574,2.443318218,1048.148989,0.000415971,0.415971398,"S2",10,0.436,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S2P2D","Amb","Drt","10_20",1192.4,50.46,0.176,49.08,2.734839477,1159.789774,0.000151752,0.15175164,"S2",20,0.612,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S3P7B","Amb","Drt","0_10",1033.6,37.87,0.442,36.613,3.319250066,999.2922313,0.000442313,0.442313055,"S3",10,0.442,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S3P7B","Amb","Drt","10_20",1364.4,40.37,0.095,39.114,3.111221204,1321.950498,7.19e-05,0.071863508,"S3",20,0.537,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S4P8D","Amb","Drt","0_10",893,46.88,0.738,45.754,2.401877133,871.5512372,0.000846766,0.846766052,"S4",10,0.738,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S4P8D","Amb","Drt","10_20",1479.6,47.53,0.17,46.488,2.1922996,1447.162735,0.000117471,0.117471239,"S4",20,0.908,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S5P1C","Amb","Drt","0_10",937.2,40.38,0.344,39.457,2.285785042,915.7776226,0.000375637,0.375637045,"S5",10,0.344,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S5P1C","Amb","Drt","10_20",1239.8,40.48,0.112,39.573,2.240612648,1212.020884,9.24e-05,0.092407649,"S5",20,0.456,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S6P7D","Amb","Drt","0_10",925.9,42.62,0.422,41.584,2.43078367,903.393374,0.000467128,0.467127624,"S6",10,0.422,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S6P7D","Amb","Drt","10_20",1475.2,41.76,0.065,40.715,2.502394636,1438.284674,4.52e-05,0.045192722,"S6",20,0.487,0.627723369421556,0.881367186186303,23.7227556509363
"Bis","S1P8B","Amb","Con","0_10",987.9,41.17,0.298,39.804,3.317949964,955.1219723,0.000312002,0.312002036,"S1",10,0.298,0.608689367454213,0.854176920279312,19.0064105588904
"Bis","S1P8B","Amb","Con","10_20",1365.9,52.13,0.127,49.628,4.799539613,1300.343088,9.77e-05,0.097666532,"S1",20,0.425,0.608689367454213,0.854176920279312,19.0064105588904
"Bis","S2P1D","Amb","Con","0_10",1083.7,32.65,0.428,31.572,3.301684533,1047.919645,0.000408428,0.408428263,"S2",10,0.428,0.608689367454213,0.854176920279312,19.0064105588904
